Range,REF,PropertyName,PropertyDescription,PropertyDescriptionShort,PropertyFilter,PropertyFilterShort,Source,SectorCount,PublicCount,Type,Subtype,Year,YearDesc,File,Field,DataType,DataTypeAlt,RecordFilterBy,Filter,FilterValue,Filter2,Filter2Value,Filter3,Filter3Value,Filter4,Filter4Value,Filter5,Filter5Value,Filter6,Filter6Value,Filter7,Filter7Value,Filter8,Filter8Value,Filter9,Filter9Value,Filter10,Filter10Value,Filter11,Filter11Value,Filter12,Filter12Value,Filter13,Filter13Value,Filter14,Filter14Value,Filter15,Filter15Value,Filter16,Filter16Value,Filter17,Filter17Value,Filter18,Filter18Value,Filter19,Filter19Value,Filter20,Filter20Value,ShouldBeNormalised,NormalisedLookup,CompoundFields,ReturnMultipleRecords,IgnoreMapping,CSCP_Matching
Establishmentablishment,,TrustSch_Name_Establishment,TrustRelatedSchools,TrustSch,SchoolName,Name,GIAS,,,Academy sponsor and trust links,,Current,Current,grouplinks_edubaseallacademiesandfreeYYYYmmDD.csv,Linked UID,string array,list of object,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,Y, 
Establishmentablishment,,TrustSch_URN_Establishment,TrustRelatedSchools,TrustSch,URN,URN,GIAS,,,Academy sponsor and trust links,,Current,Current,grouplinks_edubaseallacademiesandfreeYYYYmmDD.csv,Linked UID,string array,list of object,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,, 
Establishmentablishment,,Predec_Date_Establishment,PredecessorURN,Predec,Date,Date,GIAS,,,All Establishmentablishment Links,Links,Current,Current,links_edubasealldataYYYYmmDD.csv,LinkEstablishmentablishedDate,string array,list of object,URN,LinkType,Predecessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,Y, 
Establishmentablishment,,Predec_Name_Establishment,PredecessorURN,Predec,SchoolName,Name,GIAS,,,All Establishmentablishment Links,Links,Current,Current,links_edubasealldataYYYYmmDD.csv,LinkName,string array,list of object,URN,LinkType,Predecessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,Y, 
Establishmentablishment,,Predec_URN_Establishment,PredecessorURN,Predec,URN,URN,GIAS,,,All Establishmentablishment Links,Links,Current,Current,links_edubasealldataYYYYmmDD.csv,LinkURN,string array,list of object,URN,LinkType,Predecessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,, 
Establishmentablishment,,Succ_Date_Establishment,SuccessorURN,Succ,Date,Date,GIAS,,,All Establishmentablishment Links,Links,Current,Current,links_edubasealldataYYYYmmDD.csv,LinkEstablishmentablishedDate,string array,list of object,URN,LinkType,Successor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,Y, 
Establishmentablishment,,Succ_Name_Establishment,SuccessorURN,Succ,SchoolName,Name,GIAS,,,All Establishmentablishment Links,Links,Current,Current,links_edubasealldataYYYYmmDD.csv,LinkName,string array,list of object,URN,LinkType,Successor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,Y, 
Establishmentablishment,,Succ_URN_Establishment,SuccessorURN,Succ,URN,URN,GIAS,,,All Establishmentablishment Links,Links,Current,Current,links_edubasealldataYYYYmmDD.csv,LinkURN,string array,list of object,URN,LinkType,Successor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,TRUE,Y, 
England,,Apprentice_Tot_Eng_Current_Pct,Apprenticeship,Apprentice,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_nat_202223,appren,,percentage,geographic_level,breakdown_topic,Total,breakdown,Total,time_period,202223,geographic_level,National,data_type,Percentage,institution_group,Total state-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Apprentice_Tot_Est_Current_Pct,Apprenticeship,Apprentice,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_inst_202223,appren,,percentage,school_urn,breakdown_topic,Total,breakdown,Total,time_period,202223,data_type,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
