GSS,Authority Name,URL,Cropped URL
E08000016,Barnsley Metropolitan Borough Council,https://www.barnsley.gov.uk/pid14,barnsley.gov.uk
E06000022,Bath and North East Somerset Council,https://www.bathnes.gov.uk/apply-secondary-school-place-year-7-0,bathnes.gov.uk
E06000055,Bedford Borough Council,https://www.bedford.gov.uk/schools-education-and-childcare/schools-and-collegescadem/school-admissions/transfer-to-secondary-school/,bedford.gov.uk
E08000025,Birmingham City Council,https://www.birmingham.gov.uk/info/20119/school_admissions/1778/secondary_school_year_7_admissions/1,birmingham.gov.uk
E06000008,Blackburn with Darwen Borough Council,https://www.blackburn.gov.uk/schools-and-education/school-admissions,blackburn.gov.uk
E06000009,Blackpool Borough Council,http://www.blackpool.gov.uk/Residents/Education-and-schools/School-admissions/School-admissions.aspx,blackpool.gov.uk
E08000001,Bolton Metropolitan Borough Council,http://www.bolton.gov.uk/website/pages/Secondaryschoolplaces.aspx,bolton.gov.uk
E06000058,"Bournemouth, Christchurch and Poole Council",https://www.bcpcouncil.gov.uk/schools-and-learning/school-admissions/apply-for-a-secondary-or-upper-school-place,bcpcouncil.gov.uk
E06000036,Bracknell Forest Council,https://www.bracknell-forest.gov.uk/schools-and-learning/schools/school-admissions/starting-secondary-school,bracknell-forest.gov.uk
E06000043,Brighton and Hove City Council,https://new.brighton-hove.gov.uk/schools-and-learning/apply-school/apply-school-place,new.brighton-hove.gov.uk
E06000023,Bristol City Council,https://www.bristol.gov.uk/secondaryadmissions,bristol.gov.uk
E06000060,Buckinghamshire Council,https://www.buckinghamshire.gov.uk/schools-and-learning/schools-index/school-admissions/apply-for-a-secondary-school-place/,buckinghamshire.gov.uk
E08000002,Bury Metropolitan Borough Council,http://www.bury.gov.uk/index.aspx?articleid=10566,bury.gov.uk
E08000033,Calderdale Metropolitan Borough Council,https://www.calderdale.gov.uk/v2/residents/education-and-learning/schools/admissions,calderdale.gov.uk
E10000003,Cambridgeshire County Council,http://www.cambridgeshire.gov.uk/info/20059/schools_and_learning/363/apply_for_a_school_place/5,cambridgeshire.gov.uk
E06000056,Central Bedfordshire Council,http://www.centralbedfordshire.gov.uk/school/admissions/landing.aspx,centralbedfordshire.gov.uk
E06000049,Cheshire East Council,http://www.cheshireeast.gov.uk/schools,cheshireeast.gov.uk
E06000050,Cheshire West and Chester Council,http://www.cheshirewestandchester.gov.uk/default.aspx?page=5935,cheshirewestandchester.gov.uk
E08000032,City of Bradford Metropolitan District Council,https://www.bradford.gov.uk/education-and-skills/school-admissions/apply-for-a-place-at-one-of-bradford-districts-schools/,bradford.gov.uk
E09000001,City of London Corporation,http://www.cityoflondon.gov.uk/services/education-learning/schools/Pages/school-admissions.aspx,cityoflondon.gov.uk
E09000033,City of Westminster,https://www.westminster.gov.uk/transferring-to-secondary-school,westminster.gov.uk
E08000031,City of Wolverhampton Council,http://www.wolverhampton.gov.uk/admissions,wolverhampton.gov.uk
E06000014,City of York Council,https://www.york.gov.uk/ApplySchoolPlace,york.gov.uk
E06000052,Cornwall Council,https://www.cornwall.gov.uk/schools-and-education/schools-and-colleges/school-admissions/,cornwall.gov.uk
E06000053,Council of the Isles of Scilly,http://www.scilly.gov.uk/children/schools-colleges/five-islands-school,scilly.gov.uk
E08000026,Coventry City Council,https://www.coventry.gov.uk/school-admissions/secondary-school-admissions,coventry.gov.uk
E06000005,Darlington Borough Council,https://www.darlington.gov.uk/education-and-learning/school-years/admissions/,darlington.gov.uk
E06000015,Derby City,https://www.derby.gov.uk/education-and-learning/schools-and-colleges/school-admissions/secondary-school-admissions/,derby.gov.uk
E10000007,Derbyshire County Council,https://www.derbyshire.gov.uk/education/schools/school-places/secondary-admissions/secondary-school-admissions.aspx,derbyshire.gov.uk
E10000008,Devon County Council,https://new.devon.gov.uk/educationandfamilies/school-information/apply-for-a-school-place/apply-for-a-secondary-school-place,new.devon.gov.uk
E08000017,Doncaster Metropolitan Borough Council,http://www.doncaster.gov.uk/services/schools/secondary-admissions,doncaster.gov.uk
E06000059,Dorset Council,https://www.dorsetcouncil.gov.uk/education-and-training/schools-and-learning/apply-for-a-school-place/starting-secondary-or-upper-school,dorsetcouncil.gov.uk
E08000027,Dudley Metropolitan Borough Council,https://www.dudley.gov.uk/residents/learning-and-school/schools-and-colleges/school-admissions/,dudley.gov.uk
E06000047,Durham County Council,https://www.durham.gov.uk/secondaryschoolplaces,durham.gov.uk
E06000011,East Riding of Yorkshire Council,https://www.eastriding.gov.uk/learning/schools-colleges-and-academies/schools-and-school-places/secondary-schools/,eastriding.gov.uk
E10000011,East Sussex County Council,https://www.eastsussex.gov.uk/educationandlearning/schools/admissions/,eastsussex.gov.uk
E10000012,Essex County Council,https://www.essex.gov.uk/apply-for-a-secondary-school-place,essex.gov.uk
E08000037,Gateshead Metropolitan Borough Council,https://www.gateshead.gov.uk/article/2797/Secondary-school-admissions,gateshead.gov.uk
E10000013,Gloucestershire County Council,https://www.gloucestershire.gov.uk/education-and-learning/school-admissions/transfer-to-secondary-school-or-from-middle-to-high-school-september-2024/,gloucestershire.gov.uk
E06000006,Halton Borough Council,https://www3.halton.gov.uk/Pages/EducationandFamilies/Schools/PrimarySecondarySchool.aspx,www3.halton.gov.uk
E10000014,Hampshire County Council,https://www.hants.gov.uk/educationandlearning/admissions/applicationprocess/year7,hants.gov.uk
E06000001,Hartlepool Borough Council,https://www.hartlepool.gov.uk/schooladmissionsonline,hartlepool.gov.uk
E06000019,Herefordshire Council,https://www.herefordshire.gov.uk/secondaryschooladmissions,herefordshire.gov.uk
E10000015,Hertfordshire County Council,https://www.hertfordshire.gov.uk/services/schools-and-education/school-admissions/secondary-and-upper-schools/secondary-and-upper-school-places.aspx,hertfordshire.gov.uk
E06000010,Hull City Council,https://www.hull.gov.uk/education-and-schools/schools/secondary-school-applications,hull.gov.uk
E06000046,Isle of Wight Council,https://www.iow.gov.uk/schools-and-education/school-admissions/,iow.gov.uk
E10000016,Kent County Council,https://www.kent.gov.uk/education-and-children/schools/school-places/secondary-school-places,kent.gov.uk
E08000034,Kirklees Council,http://www.kirklees.gov.uk/beta/schools-and-education.aspx#admissions,kirklees.gov.uk
E08000011,Knowsley Metropolitan Borough Council,http://www.knowsley.gov.uk/residents/education-and-schools/apply-for-a-school-place.aspx,knowsley.gov.uk
E10000017,Lancashire County Council,http://www.lancashire.gov.uk/children-education-families/schools/apply-for-a-school-place/apply-for-a-secondary-school-place.aspx,lancashire.gov.uk
E08000035,Leeds City Council,https://www.leeds.gov.uk/schools-and-education/school-admissions/apply-for-a-secondary-school,leeds.gov.uk
E06000016,Leicester City Council,https://www.leicester.gov.uk/schools-and-learning/school-and-colleges/school-admissions/starting-secondary-school/,leicester.gov.uk
