GSS,Authority Name,TestedUrl,StatusCode
E06000001,Hartlepool Borough Council,https://www.hartlepool.gov.uk,200
E06000002,Middlesbrough Borough Council,https://www.middlesbrough.gov.uk,200
E06000003,Redcar and Cleveland Borough Council,https://www.redcar-cleveland.gov.uk,200
E06000004,Stockton-on-Tees Borough Council,https://www.stockton.gov.uk,200
E06000005,Darlington Borough Council,https://www.darlington.gov.uk,200
E06000006,Halton Borough Council,https://www.halton.gov.uk,200
E06000007,Warrington Borough Council,https://www.warrington.gov.uk,200
E06000008,Blackburn with Darwen Borough Council,https://www.blackburn.gov.uk,200
E06000009,Blackpool Borough Council,https://www.blackpool.gov.uk,200
E06000010,Hull City Council,https://www.hull.gov.uk,200
E06000011,East Riding of Yorkshire Council,https://www.eastriding.gov.uk,200
E06000012,North East Lincolnshire Council,https://www.nelincs.gov.uk,200
E06000013,North Lincolnshire Council,https://www.northlincs.gov.uk,200
E06000014,City of York Council,https://www.york.gov.uk,200
E06000015,Derby City,https://www.derby.gov.uk,200
E06000016,Leicester City Council,https://www.leicester.gov.uk,200
E06000017,Rutland County Council,https://www.rutland.gov.uk,200
E06000018,Nottingham City Council,https://www.nottinghamcity.gov.uk,200
E06000019,Herefordshire Council,https://www.herefordshire.gov.uk,200
E06000020,Telford & Wrekin Council,https://www.telford.gov.uk,200
E06000021,Stoke-on-Trent City Council,https://www.stoke.gov.uk,200
E06000022,Bath and North East Somerset Council,https://www.bathnes.gov.uk,200
E06000023,Bristol City Council,https://www.bristol.gov.uk,200
E06000024,North Somerset Council,https://www.n-somerset.gov.uk,200
E06000025,South Gloucestershire Council,https://life.southglos.gov.uk,200
E06000026,Plymouth City Council,https://www.plymouth.gov.uk,200
E06000027,Torbay Council,https://www.torbay.gov.uk,200
E06000030,Swindon Borough Council,https://www.swindon.gov.uk,200
E06000031,Peterborough City Council,https://www.peterborough.gov.uk,200
E06000032,Luton Borough Council,https://www.luton.gov.uk,200
E06000033,Southend-on-Sea City Council,https://www.southend.gov.uk,200
E06000034,Thurrock Council,https://www.thurrock.gov.uk,200
E06000035,Medway Council,https://www.medway.gov.uk,200
E06000036,Bracknell Forest Council,https://www.bracknell-forest.gov.uk,200
E06000037,West Berkshire Council,https://www.westberks.gov.uk,200
E06000038,Reading Borough Council,https://www.reading.gov.uk,200
E06000039,Slough Borough Council,https://www.slough.gov.uk,200
E06000040,Royal Borough of Windsor and Maidenhead,https://www.rbwm.gov.uk,200
E06000041,Wokingham Borough Council,https://www.wokingham.gov.uk,200
E06000042,Milton Keynes City Council,https://www.milton-keynes.gov.uk,200
E06000043,Brighton and Hove City Council,https://www.brighton-hove.gov.uk,200
E06000044,Portsmouth City Council,https://www.portsmouth.gov.uk,200
E06000045,Southampton City Council,https://www.southampton.gov.uk,200
E06000046,Isle of Wight Council,https://www.iow.gov.uk,200
E06000047,Durham County Council,https://www.durham.gov.uk,200
E06000049,Cheshire East Council,https://www.cheshireeast.gov.uk,200
E06000050,Cheshire West and Chester Council,https://www.cheshirewestandchester.gov.uk,200
E06000051,Shropshire Council,https://www.shropshire.gov.uk,200
E06000052,Cornwall Council,https://www.cornwall.gov.uk,200
E06000053,Council of the Isles of Scilly,https://www.scilly.gov.uk,200
E06000054,Wiltshire Council,https://www.wiltshire.gov.uk,200
E06000055,Bedford Borough Council,https://www.bedford.gov.uk,200
E06000056,Central Bedfordshire Council,https://www.centralbedfordshire.gov.uk,200
E06000057,Northumberland County Council,https://www.northumberland.gov.uk,200
E06000058,"Bournemouth, Christchurch and Poole Council",https://www.bcpcouncil.gov.uk,200
E06000059,Dorset Council,https://www.dorsetcouncil.gov.uk,200
E06000060,Buckinghamshire Council,https://www.buckinghamshire.gov.uk,200
E06000061,North Northamptonshire Council,https://www.northnorthants.gov.uk,200
E06000062,West Northamptonshire Council,https://www.westnorthants.gov.uk,200
E06000063,Cumberland Council,https://www.cumberland.gov.uk,200
E06000064,Westmorland and Furness Council,https://www.westmorlandandfurness.gov.uk,200
E06000065,North Yorkshire Council,https://www.northyorks.gov.uk,200
E06000066,Somerset Council,https://www.somerset.gov.uk,200
E08000001,Bolton Metropolitan Borough Council,https://www.bolton.gov.uk,200
E08000002,Bury Metropolitan Borough Council,https://www.bury.gov.uk,200
E08000003,Manchester City Council,https://www.manchester.gov.uk,200
E08000004,Oldham Metropolitan Borough Council,https://www.oldham.gov.uk,200
