CroppedURL,TestedURL,FinalURL,FinalHost,StatusCode,Error
"barnsley.gov.uk","https://barnsley.gov.uk","https://www.barnsley.gov.uk/","www.barnsley.gov.uk","200",""
"bathnes.gov.uk","https://bathnes.gov.uk","https://www.bathnes.gov.uk/","www.bathnes.gov.uk","200",""
"bedford.gov.uk","https://bedford.gov.uk","https://www.bedford.gov.uk/","www.bedford.gov.uk","200",""
"birmingham.gov.uk","https://birmingham.gov.uk","","","","page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://birmingham.gov.uk/
Call log:
[2m  - navigating to ""https://birmingham.gov.uk/"", waiting until ""networkidle""[22m
"
"blackburn.gov.uk","https://blackburn.gov.uk","https://blackburn.gov.uk/","blackburn.gov.uk","200",""
"blackpool.gov.uk","https://blackpool.gov.uk","https://www.blackpool.gov.uk/Home.aspx","www.blackpool.gov.uk","200",""
"bolton.gov.uk","https://bolton.gov.uk","https://www.bolton.gov.uk/","www.bolton.gov.uk","200",""
"bcpcouncil.gov.uk","https://bcpcouncil.gov.uk","https://www.bcpcouncil.gov.uk/","www.bcpcouncil.gov.uk","200",""
"bracknell-forest.gov.uk","https://bracknell-forest.gov.uk","","","","page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""https://bracknell-forest.gov.uk/"", waiting until ""networkidle""[22m
"
"new.brighton-hove.gov.uk","https://new.brighton-hove.gov.uk","https://www.brighton-hove.gov.uk/","www.brighton-hove.gov.uk","200",""
"bristol.gov.uk","https://bristol.gov.uk","https://www.bristol.gov.uk/","www.bristol.gov.uk","200",""
"buckinghamshire.gov.uk","https://buckinghamshire.gov.uk","https://www.buckinghamshire.gov.uk/","www.buckinghamshire.gov.uk","200",""
"bury.gov.uk","https://bury.gov.uk","","","","page.goto: net::ERR_CONNECTION_TIMED_OUT at https://bury.gov.uk/
Call log:
[2m  - navigating to ""https://bury.gov.uk/"", waiting until ""networkidle""[22m
"
"calderdale.gov.uk","https://calderdale.gov.uk","https://new.calderdale.gov.uk/","new.calderdale.gov.uk","200",""
"cambridgeshire.gov.uk","https://cambridgeshire.gov.uk","https://www.cambridgeshire.gov.uk/","www.cambridgeshire.gov.uk","200",""
"centralbedfordshire.gov.uk","https://centralbedfordshire.gov.uk","https://www.centralbedfordshire.gov.uk/","www.centralbedfordshire.gov.uk","200",""
"cheshireeast.gov.uk","https://cheshireeast.gov.uk","https://www.cheshireeast.gov.uk/home.aspx","www.cheshireeast.gov.uk","200",""
"cheshirewestandchester.gov.uk","https://cheshirewestandchester.gov.uk","https://www.cheshirewestandchester.gov.uk/","www.cheshirewestandchester.gov.uk","200",""
"bradford.gov.uk","https://bradford.gov.uk","https://www.bradford.gov.uk/","www.bradford.gov.uk","200",""
"cityoflondon.gov.uk","https://cityoflondon.gov.uk","https://www.cityoflondon.gov.uk/","www.cityoflondon.gov.uk","200",""
"westminster.gov.uk","https://westminster.gov.uk","https://www.westminster.gov.uk/","www.westminster.gov.uk","200",""
"wolverhampton.gov.uk","https://wolverhampton.gov.uk","https://www.wolverhampton.gov.uk/","www.wolverhampton.gov.uk","200",""
"york.gov.uk","https://york.gov.uk","https://www.york.gov.uk/","www.york.gov.uk","200",""
"cornwall.gov.uk","https://cornwall.gov.uk","https://www.cornwall.gov.uk/","www.cornwall.gov.uk","200",""
"scilly.gov.uk","https://scilly.gov.uk","https://scilly.gov.uk/","scilly.gov.uk","200",""
"coventry.gov.uk","https://coventry.gov.uk","https://www.coventry.gov.uk/","www.coventry.gov.uk","200",""
"darlington.gov.uk","https://darlington.gov.uk","https://www.darlington.gov.uk/","www.darlington.gov.uk","200",""
"derby.gov.uk","https://derby.gov.uk","https://derby.gov.uk/","derby.gov.uk","200",""
"derbyshire.gov.uk","https://derbyshire.gov.uk","https://www.derbyshire.gov.uk/home.aspx","www.derbyshire.gov.uk","200",""
"new.devon.gov.uk","https://new.devon.gov.uk","https://www.devon.gov.uk/","www.devon.gov.uk","200",""
"doncaster.gov.uk","https://doncaster.gov.uk","https://www.doncaster.gov.uk/","www.doncaster.gov.uk","200",""
"dorsetcouncil.gov.uk","https://dorsetcouncil.gov.uk","https://www.dorsetcouncil.gov.uk/","www.dorsetcouncil.gov.uk","200",""
"dudley.gov.uk","https://dudley.gov.uk","https://www.dudley.gov.uk/residents/","www.dudley.gov.uk","200",""
"durham.gov.uk","https://durham.gov.uk","https://durham.gov.uk/","durham.gov.uk","200",""
"eastriding.gov.uk","https://eastriding.gov.uk","https://www.eastriding.gov.uk/","www.eastriding.gov.uk","200",""
"eastsussex.gov.uk","https://eastsussex.gov.uk","https://www.eastsussex.gov.uk/","www.eastsussex.gov.uk","200",""
"essex.gov.uk","https://essex.gov.uk","https://www.essex.gov.uk/","www.essex.gov.uk","200",""
"gateshead.gov.uk","https://gateshead.gov.uk","https://www.gateshead.gov.uk/","www.gateshead.gov.uk","200",""
"gloucestershire.gov.uk","https://gloucestershire.gov.uk","https://gloucestershire.gov.uk/","gloucestershire.gov.uk","200",""
"www3.halton.gov.uk","https://www3.halton.gov.uk","https://www3.halton.gov.uk/Pages/Home.aspx","www3.halton.gov.uk","200",""
"hants.gov.uk","https://hants.gov.uk","https://www.hants.gov.uk/","www.hants.gov.uk","200",""
"hartlepool.gov.uk","https://hartlepool.gov.uk","https://hartlepool.gov.uk/","hartlepool.gov.uk","404",""
"herefordshire.gov.uk","https://herefordshire.gov.uk","","","","page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://herefordshire.gov.uk/
Call log:
[2m  - navigating to ""https://herefordshire.gov.uk/"", waiting until ""networkidle""[22m
"
"hertfordshire.gov.uk","https://hertfordshire.gov.uk","https://www.hertfordshire.gov.uk/home.aspx","www.hertfordshire.gov.uk","200",""
"hull.gov.uk","https://hull.gov.uk","https://www.hull.gov.uk/","www.hull.gov.uk","200",""
"iow.gov.uk","https://iow.gov.uk","https://www.iow.gov.uk/","www.iow.gov.uk","200",""
"kent.gov.uk","https://kent.gov.uk","https://www.kent.gov.uk/","www.kent.gov.uk","200",""
"kirklees.gov.uk","https://kirklees.gov.uk","https://www.kirklees.gov.uk/beta/default.aspx","www.kirklees.gov.uk","200",""
"knowsley.gov.uk","https://knowsley.gov.uk","https://www.knowsley.gov.uk/","www.knowsley.gov.uk","200",""
"lancashire.gov.uk","https://lancashire.gov.uk","https://lancashire.gov.uk/","lancashire.gov.uk","200",""
